ST,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"46","South Dakota",469372,12986,2.77,13161,2.80,13342,2.84,15016,3.20,21481,4.58,29216,6.22,35261,7.51,40294,8.58,45556,9.71,49290,10.50,54299,11.57,57917,12.34
"47","Tennessee",3348935,84111,2.51,85932,2.57,88354,2.64,122482,3.66,205389,6.13,305941,9.14,370372,11.06,430627,12.86,468993,14.00,501549,14.98,526983,15.74,552699,16.50
"48","Texas",14451734,457701,3.17,471857,3.27,487807,3.38,641076,4.44,913425,6.32,1224218,8.47,1494663,10.34,1771531,12.26,2022080,13.99,2262629,15.66,2402219,16.62,2534731,17.54
"49","Utah",1620659,45666,2.82,46616,2.88,47837,2.95,66269,4.09,92978,5.74,123906,7.65,146407,9.03,164800,10.17,175788,10.85,184206,11.37,190829,11.77,196703,12.14
"50","Vermont",343297,7766,2.26,8208,2.39,8862,2.58,12617,3.68,27137,7.90,43484,12.67,53072,15.46,59619,17.37,64697,18.85,68542,19.97,71432,20.81,73514,21.41
"51","Virginia",4404766,108678,2.47,111123,2.52,113741,2.58,158518,3.60,267369,6.07,409961,9.31,511190,11.61,591238,13.42,661376,15.02,719075,16.32,769523,17.47,813828,18.48
"53","Washington",3916636,174722,4.46,180862,4.62,194079,4.96,314649,8.03,484353,12.37,643294,16.42,777363,19.85,854838,21.83,984316,25.13,1079181,27.55,1182047,30.18,1316784,33.62
"54","West Virginia",784123,36883,4.70,37885,4.83,38724,4.94,42154,5.38,56242,7.17,70303,8.97,84800,10.81,130156,16.60,159082,20.29,171913,21.92,177777,22.67,182485,23.27
"55","Wisconsin",3104739,80727,2.60,85468,2.75,90338,2.91,138226,4.45,242329,7.81,340697,10.97,406386,13.09,458828,14.78,505742,16.29,541293,17.43,577622,18.60,607006,19.55
"56","Wyoming",305662,9812,3.21,10314,3.37,10801,3.53,14242,4.66,20266,6.63,26429,8.65,31886,10.43,36013,11.78,39306,12.86,41995,13.74,45100,14.75,46900,15.34
