ZI,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"01566","Sturbridge",3559,63,1.77,67,1.88,73,2.05,191,5.37,336,9.44,448,12.59,531,14.92,596,16.75,653,18.35,697,19.58,733,20.60,764,21.47
"01568","Upton",4585,119,2.60,123,2.68,131,2.86,279,6.09,460,10.03,599,13.06,703,15.33,783,17.08,855,18.65,910,19.85,955,20.83,993,21.66
"01569","Uxbridge",8345,312,3.74,321,3.85,333,3.99,589,7.06,902,10.81,1142,13.68,1321,15.83,1461,17.51,1584,18.98,1680,20.13,1758,21.07,1824,21.86
"01570","Webster",9149,390,4.26,400,4.37,415,4.54,730,7.98,1115,12.19,1412,15.43,1632,17.84,1804,19.72,1955,21.37,2074,22.67,2169,23.71,2250,24.59
"01571","Dudley",6646,259,3.90,267,4.02,278,4.18,508,7.64,789,11.87,1006,15.14,1167,17.56,1292,19.44,1403,21.11,1489,22.40,1559,23.46,1618,24.35
"01581","Westborough",10935,182,1.66,193,1.76,209,1.91,540,4.94,943,8.62,1254,11.47,1485,13.58,1665,15.23,1824,16.68,1948,17.81,2048,18.73,2133,19.51
"01583","West Boylston",3211,68,2.12,72,2.24,77,2.40,192,5.98,332,10.34,439,13.67,519,16.16,582,18.13,637,19.84,680,21.18,715,22.27,744,23.17
"01585","West Brookfield",2695,69,2.56,72,2.67,76,2.82,166,6.16,276,10.24,361,13.40,424,15.73,473,17.55,516,19.15,550,20.41,578,21.45,601,22.30
"01588","Whitinsville",6172,142,2.30,148,2.40,159,2.58,365,5.91,618,10.01,812,13.16,956,15.49,1069,17.32,1168,18.92,1246,20.19,1308,21.19,1361,22.05
"01590","Sutton",5434,97,1.79,103,1.90,112,2.06,285,5.24,496,9.13,659,12.13,780,14.35,874,16.08,957,17.61,1022,18.81,1075,19.78,1119,20.59
